epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6529,1.24993,0.57403,0.80839,0.82345,0.70189,0.78793,0.44816,1.59847,1.14317,0.85436,0.0678316,0.000994898,0.000994898
2,125.138,1.45119,0.65621,0.82712,0.7816,0.58968,0.6322,0.34129,1.59182,0.84892,0.91042,0.0354969,0.00199354,0.00199354
3,190.659,1.49194,0.6746,0.835,0.90521,0.81393,0.89163,0.4753,1.48032,0.80908,0.83744,0.00315684,0.00298678,0.00298678
4,253.063,1.47848,0.66316,0.82458,0.91331,0.85114,0.91349,0.47184,1.54395,0.71818,0.8363,0.00298172,0.00298172,0.00298172
5,317.79,1.44264,0.64076,0.82786,0.91059,0.78977,0.89143,0.47682,1.48695,0.73399,0.83015,0.00296755,0.00296755,0.00296755
6,381.439,1.40114,0.61632,0.81949,0.92949,0.78894,0.88541,0.51022,1.39711,0.69111,0.82235,0.0029494,0.0029494,0.0029494
7,449.289,1.36238,0.60263,0.81979,0.90186,0.86591,0.93689,0.53084,1.38947,0.63353,0.81886,0.00292732,0.00292732,0.00292732
8,511.473,1.41254,0.61162,0.81779,0.86396,0.82121,0.91643,0.52075,1.41648,0.74269,0.82276,0.00290137,0.00290137,0.00290137
9,576.148,1.35289,0.5909,0.81828,0.93788,0.87841,0.93579,0.50676,1.5008,0.66611,0.82768,0.00287162,0.00287162,0.00287162
10,640.493,1.36938,0.59483,0.81957,0.91359,0.845,0.93023,0.53902,1.40544,0.65,0.82245,0.00283814,0.00283814,0.00283814
11,706.118,1.35139,0.58089,0.8167,0.92519,0.85303,0.93417,0.53653,1.39778,0.61876,0.82062,0.00280105,0.00280105,0.00280105
12,769.247,1.35549,0.58566,0.81216,0.92017,0.88712,0.94304,0.55053,1.38374,0.61286,0.81788,0.00276043,0.00276043,0.00276043
13,833.048,1.34937,0.58065,0.81544,0.91171,0.89176,0.94814,0.56591,1.34355,0.59009,0.8139,0.00271639,0.00271639,0.00271639
14,897.363,1.2869,0.55629,0.80858,0.91697,0.89356,0.94924,0.55005,1.38159,0.62183,0.81365,0.00266906,0.00266906,0.00266906
15,963.068,1.24452,0.54868,0.80801,0.91678,0.89962,0.95308,0.5822,1.2565,0.56151,0.80955,0.00261857,0.00261857,0.00261857
16,1029.27,1.25072,0.54372,0.80944,0.9343,0.83674,0.93068,0.59121,1.24553,0.6283,0.80724,0.00256505,0.00256505,0.00256505
17,1093.75,1.25596,0.53584,0.80765,0.93312,0.91433,0.96317,0.59102,1.27362,0.56377,0.8075,0.00250866,0.00250866,0.00250866
18,1159.1,1.23395,0.53324,0.8049,0.95021,0.88912,0.96049,0.58937,1.2718,0.56501,0.80878,0.00244954,0.00244954,0.00244954
19,1219.3,1.2507,0.53761,0.80129,0.90077,0.88826,0.94758,0.59074,1.24649,0.59657,0.80848,0.00238786,0.00238786,0.00238786
20,1284.09,1.18942,0.52054,0.80392,0.95267,0.90795,0.96547,0.60401,1.24783,0.55642,0.80634,0.00232379,0.00232379,0.00232379
